,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
45,Kayle,46336,33,33,Viego,7318,43,109,Yone,24743,52,291,Vayne,145709,54,204,Renata,25986,53,197,Aatrox,33220,72,32,JarvanIV,247028,51,144,Kassadin,784276,52,135,Draven,3099,60,149,Sett,226054,55,244,0
46,RekSai,155189,55,273,Zac,397345,53,491,Varus,16400,54,157,Ezreal,78017,51,264,Brand,8715,51,239,Shen,86139,50,800,Graves,3229,56,63,Katarina,298713,54,204,Kaisa,31118,53,185,Thresh,102920,53,197,0
47,Gnar,101218,51,528,Rengar,1064022,51,609,Katarina,298713,54,204,Zeri,10944,49,109,Janna,19693,53,197,Mordekaiser,56363,56,192,Kayn,2491,53,30,Qiyana,3422,60,94,Kindred,11743,45,107,Taric,9622,50,38,0
48,Volibear,144916,56,104,Graves,106626,46,439,Syndra,4746,50,133,Twitch,209663,55,238,Lulu,42259,57,174,Kayle,11710,52,187,Belveth,70071,55,247,Katarina,298713,54,204,Jhin,304379,60,83,Karma,22797,53,197,0
49,Mordekaiser,8843,51,358,Vi,582600,49,1041,Yone,8329,54,204,Draven,1518053,51,2055,Blitzcrank,125738,53,197,Gangplank,2124,55,519,Shyvana,2746,51,376,Morgana,165310,51,224,Twitch,243778,-1,-1,Lulu,74998,50,977,0
50,Kayle,145428,54,269,Khazix,722111,50,378,Graves,595038,49,935,Jhin,778682,51,692,Lulu,168071,49,580,Riven,2025626,51,412,Hecarim,18119,48,249,Katarina,298713,54,204,Ashe,42595,53,197,Seraphine,176922,-1,-1,1
51,Riven,2025626,51,412,Kindred,136227,51,285,Orianna,148106,-1,-1,Swain,112498,51,448,Pyke,884061,53,1180,Camille,5748,50,302,Rammus,203121,50,731,Velkoz,90463,54,204,Kaisa,48294,53,197,Taric,56059,46,230,1
52,Teemo,42285,51,696,Udyr,18498,46,239,Veigar,55809,51,218,Jinx,6650,52,233,Thresh,58173,51,587,Kayle,69905,51,1061,Kindred,136227,51,285,Katarina,298713,54,204,Jhin,64732,53,197,Nami,678602,49,515,0
53,Nasus,80840,50,741,Nunu,1066670,51,346,Xerath,423320,48,328,Samira,44126,55,297,Thresh,4686,53,187,Mordekaiser,1049762,51,495,Vi,500682,47,460,Kennen,101662,54,204,Senna,81608,50,948,Seraphine,17645,53,197,1
54,Urgot,1746098,54,171,FiddleSticks,131295,54,164,Velkoz,90463,54,204,Twitch,138704,51,528,Seraphine,17645,53,197,Shen,3852,52,172,Shyvana,68939,49,574,Cassiopeia,22488,53,269,TahmKench,10995,50,875,Senna,13330,52,48,1
