,blueTops,btmp,btwr,btt,blueJngs,bjmp,bjwr,bjt,blueMids,bmmp,bmwr,bmt,blueBots,bbmp,bbwr,bbt,blueSups,bsmp,bswr,bst,redTops,rtmp,rtwr,rtt,redJngs,rjmp,rjwr,rjt,redMids,rmmp,rmwr,rmt,redBots,rbmp,rbwr,rbt,redSups,rsmp,rswr,rst,winner
70,Gangplank,43187,62,126,Graves,69015,50,432,Cassiopeia,75859,43,99,Kaisa,83433,-1,-1,Sona,141572,55,220,Mordekaiser,72721,52,149,RekSai,571570,-1,-1,Yasuo,477779,50,387,Vayne,10666,49,111,Twitch,860437,49,740,1
71,Gwen,51003,48,207,Viego,628903,50,604,Kassadin,107692,52,637,Samira,15075,57,61,Karma,54547,-1,-1,Gangplank,12102,55,88,Graves,698420,51,513,Zed,89067,-1,-1,Ezreal,14787,48,112,Nami,1406579,51,445,0
72,Gwen,14231,53,252,Belveth,10067,50,486,Zeri,77784,50,531,Ezreal,55715,69,61,Rell,11712,49,201,Olaf,5586,43,47,Rengar,475167,53,806,Qiyana,15431,51,594,Tristana,980818,50,846,Karma,54547,-1,-1,1
73,Ornn,25644,50,978,Ekko,88775,49,194,Yasuo,51722,52,89,Samira,134977,52,298,Senna,40769,53,123,Shen,63497,50,42,Taliyah,30340,49,257,Sylas,38703,-1,-1,Ezreal,28518,51,757,Karma,54547,-1,-1,0
74,Mordekaiser,11574,58,91,Nunu,308767,55,212,Gangplank,154310,-1,-1,Jinx,85455,53,436,Morgana,247188,51,158,Aatrox,36293,51,409,MonkeyKing,83777,50,233,Akali,1145653,52,1095,Varus,1348778,50,618,Karma,54547,-1,-1,0
75,Fiora,148521,50,1701,Talon,62180,50,497,Sylas,97460,50,640,Seraphine,5760,51,532,Senna,76008,48,133,Shen,41756,-1,-1,Rengar,406182,52,523,Vladimir,2212,59,92,Jhin,988371,44,144,Soraka,12892,-1,-1,1
76,Viego,187156,51,218,Rammus,1287,51,131,Fizz,137495,56,291,Vayne,447176,51,965,Brand,13789,-1,-1,Sett,22523,50,739,Graves,1202,50,645,Sylas,62081,51,512,Twitch,168994,48,231,Velkoz,2904271,51,101,1
77,Gangplank,278764,55,169,FiddleSticks,472512,53,371,Cassiopeia,312127,51,673,Yasuo,31999,-1,-1,Lux,1166663,50,716,Chogath,49659,49,792,Viego,16763,53,369,Sylas,9101,55,279,Aphelios,40553,51,696,Soraka,12892,-1,-1,1
78,Shyvana,26848,56,150,Mordekaiser,32608,51,759,Kayle,14179,48,464,Lucian,385103,50,490,Nami,484391,54,217,Aatrox,224317,61,97,Zac,330916,52,462,Anivia,1082301,56,156,Ashe,249071,47,265,Senna,26700,-1,-1,0
79,Shen,200414,51,325,MonkeyKing,38180,46,268,Tristana,59078,56,306,Ashe,144805,46,173,Zyra,2404,54,240,Swain,57324,-1,-1,Zac,1099127,46,292,Katarina,1424404,49,436,Kaisa,151222,52,83,Senna,26700,-1,-1,1
80,Jax,46200,52,782,Ekko,469384,51,428,Orianna,16266,-1,-1,Jhin,1150398,50,1536,Lulu,90348,44,85,Teemo,104582,-1,-1,Karthus,42195,50,777,Diana,208297,51,319,KogMaw,28924,51,1249,Ashe,40137,51,668,0
81,Viktor,106830,52,850,Talon,157153,52,404,Vex,16525,50,731,Jhin,111267,51,521,Brand,13789,-1,-1,Nasus,393,41,145,Taliyah,255,54,117,Yone,172364,-1,-1,MissFortune,29744,51,541,Yuumi,8922,50,215,1
82,Vayne,341146,50,432,Nocturne,110517,51,1116,Veigar,47771,-1,-1,Caitlyn,69837,53,144,Xerath,369112,-1,-1,Aatrox,997185,51,862,LeeSin,107691,-1,-1,Chogath,228912,-1,-1,Jhin,24476,52,442,Renata,5686,-1,-1,1
83,Sett,269563,51,404,Ekko,155058,-1,-1,Galio,34434,49,469,Jhin,74388,52,489,Senna,26700,-1,-1,Kaisa,12775,51,348,Shaco,726237,54,395,Talon,70032,-1,-1,Twitch,208335,40,85,Morgana,15337,49,412,1
84,Sett,73411,51,712,MasterYi,24037,51,495,Chogath,505714,50,181,Aphelios,10083,51,510,Karma,54547,-1,-1,Shen,57402,53,504,Udyr,108429,50,894,Yasuo,18833,31,42,Brand,1470560,50,663,Nami,570487,49,398,0
85,Aatrox,391200,-1,-1,MasterYi,499128,50,745,Viktor,154722,50,565,Akshan,19488,50,228,Zyra,40028,51,166,Illaoi,76583,50,228,Viego,23170,49,1293,Ahri,236334,51,737,Kaisa,125475,51,1237,Karma,54547,-1,-1,1
86,Jax,64428,49,333,Diana,171666,54,417,Veigar,33933,50,900,Jhin,1274393,-1,-1,Karma,54547,-1,-1,Mordekaiser,25279,53,195,Volibear,10746,-1,-1,Gangplank,711459,50,701,Jinx,1215116,49,578,Pantheon,90152,49,628,1
87,Riven,54914,49,444,Amumu,122469,51,112,Kayle,24327,49,418,Vayne,33113,48,239,Karma,54547,-1,-1,Akali,37554,55,239,Diana,3713,68,44,Yone,826706,50,531,Jinx,201312,50,82,Senna,4305,42,72,1
88,Kennen,5294,51,691,Volibear,26259,53,119,Qiyana,50213,51,322,Kaisa,221245,52,89,Rakan,21342,49,77,Teemo,1209040,49,458,Trundle,118417,57,275,Yasuo,455067,-1,-1,Jhin,341930,47,288,Karma,54547,-1,-1,0
89,Urgot,57367,50,537,Shaco,128252,50,658,Anivia,3502,-1,-1,Rakan,13616,48,102,Jinx,19919,53,182,Sett,29427,56,189,LeeSin,277284,51,538,Kaisa,239649,-1,-1,Twitch,249510,50,425,Senna,26700,-1,-1,0
90,Shen,246399,50,979,MonkeyKing,40941,46,322,Annie,3099,53,244,Yasuo,96868,51,361,Karma,54547,-1,-1,Malphite,10089,53,319,Diana,32211,51,239,Yone,67797,47,172,Vayne,598614,47,102,Lulu,18644,49,198,1
91,Ryze,17664,51,279,Warwick,498162,56,105,Kaisa,9546,51,210,Lucian,234,52,52,Thresh,2867,53,53,Nasus,111152,54,148,Nidalee,78204,49,327,Annie,974332,51,580,Ezreal,175907,51,444,Brand,13789,-1,-1,0
92,JarvanIV,525164,50,703,Zed,303365,49,567,Corki,9886,52,252,Ezreal,82407,49,326,Brand,13789,-1,-1,DrMundo,180262,49,523,Volibear,6486,48,160,Ekko,48576,50,226,Samira,60350,-1,-1,Leona,66178,46,407,1
93,Mordekaiser,277621,52,1014,Zac,4021,49,597,Viego,6309,45,108,Jhin,152775,49,546,Xerath,4576,40,100,Aatrox,243600,51,655,XinZhao,44590,52,141,Ahri,5591,55,190,Caitlyn,111165,51,195,Janna,1051,-1,-1,0
94,Neeko,45177,46,155,Rengar,8728,49,175,Ziggs,5341,55,190,Jinx,31827,59,241,Xerath,4576,40,100,Gangplank,863810,-1,-1,FiddleSticks,355983,49,797,Vayne,7328,49,634,Caitlyn,4986,51,494,Soraka,12892,-1,-1,0
95,Sylas,47806,50,799,Trundle,11465,60,135,Xerath,74186,51,1161,Kaisa,14490,54,225,Brand,13789,-1,-1,Malphite,8554,48,85,Zac,38213,51,191,Lux,300087,51,644,Xayah,52662,53,236,Twitch,106430,51,832,0
