,blueTops,btlevel,btmp,btwr,btcwr,btkda,btct,btt,blueJngs,bjlevel,bjmp,bjwr,bjcwr,bjkda,bjct,bjt,blueMids,bmlevel,bmmp,bmwr,bmcwr,bmkda,bmct,bmt,blueBots,bblevel,bbmp,bbwr,bbcwr,bbkda,bbct,bbt,blueSups,bslevel,bsmp,bswr,bscwr,bskda,bsct,bst,redTops,redJngs,redMids,redBots,redSups,winner
2721,Pantheon,340,462347,0.47,0.51,2.05,147.0,398.0,Kayn,177,158025,0.5,0.47,2.75,66.0,404.0,Xerath,390,336138,0.51,0.55,3.26,123.0,761.0,KogMaw,60,19952,0.51,0.59,3.49,27.0,187.0,Soraka,673,611173,0.51,0.45,3.42,111.0,431.0,Shen,MonkeyKing,Kayle,Seraphine,Sona,0
2722,Shen,514,318037,0.52,0.55,3.8,279.0,517.0,Vi,398,15194,0.51,0.33,1.46,3.0,201.0,Morgana,461,1408772,0.51,0.56,2.67,373.0,690.0,Jhin,525,81929,0.51,0.59,3.77,76.0,1201.0,Xerath,183,4413,0.53,0.22,2.41,9.0,446.0,Darius,Rengar,Swain,MissFortune,Soraka,0
2723,Gangplank,274,475817,0.6,0.67,2.24,9.0,124.0,Graves,153,33805,0.5,0.54,2.97,13.0,485.0,Leblanc,323,32310,-1.0,0.0,0.0,0.0,-1.0,Nilah,382,6217,0.54,0.5,2.58,8.0,366.0,Yuumi,337,356207,0.55,0.52,4.6,445.0,758.0,Aatrox,Kindred,Sylas,KogMaw,Soraka,0
2724,Gragas,371,25677,0.49,1.0,4.8,1.0,293.0,Rengar,582,642311,0.55,0.58,2.83,165.0,288.0,Pantheon,49,25756,0.54,0.49,2.4,43.0,205.0,Jinx,60,23127,0.51,0.53,3.05,32.0,187.0,Seraphine,673,302330,0.51,0.52,3.63,123.0,431.0,Teemo,Shyvana,Zed,Ezreal,Yuumi,1
2725,Kled,392,104045,-1.0,0.0,0.0,0.0,-1.0,Mordekaiser,169,28501,0.57,0.72,4.6,25.0,349.0,Sylas,606,17111,0.53,0.0,1.53,2.0,434.0,Jinx,60,23127,0.51,0.53,3.05,32.0,187.0,Soraka,673,611173,0.51,0.45,3.42,111.0,431.0,Quinn,Nidalee,Viktor,Samira,Zyra,0
2726,Sejuani,441,3817,0.5,0.0,0.72,2.0,546.0,Diana,457,23107,0.51,0.36,1.66,11.0,641.0,Viktor,682,295519,0.5,0.59,3.07,179.0,1445.0,Jhin,606,1786876,0.52,0.56,3.53,77.0,105.0,Xerath,349,47552,0.5,0.33,2.64,9.0,399.0,Teemo,Kindred,Anivia,KogMaw,Soraka,0
2727,Nasus,390,13811,0.6,0.81,3.54,16.0,135.0,MonkeyKing,457,45666,0.51,0.58,3.15,33.0,641.0,Brand,804,146318,0.49,0.56,2.94,32.0,420.0,MissFortune,97,36931,0.5,0.57,2.34,53.0,724.0,Zyra,469,90775,0.5,0.59,2.09,66.0,760.0,Yone,Elise,Akshan,Draven,Soraka,1
2728,Viego,521,146326,0.52,0.52,2.47,219.0,643.0,Rengar,169,73261,0.52,0.5,2.45,4.0,79.0,Sylas,368,27662,0.49,0.6,3.21,15.0,369.0,Draven,370,38399,0.46,1.0,2.53,3.0,198.0,TahmKench,472,784610,0.52,0.59,3.37,102.0,294.0,Lillia,Diana,Yasuo,Sivir,Soraka,1
2729,Garen,312,15478,0.52,0.67,1.41,15.0,673.0,Volibear,565,36184,0.48,0.67,3.59,18.0,421.0,Kayle,470,17918,0.57,0.67,1.79,3.0,258.0,Aphelios,144,354550,0.5,0.47,2.69,620.0,1062.0,Soraka,476,13417,0.53,0.7,4.05,10.0,598.0,Tryndamere,Shyvana,Azir,Sivir,Janna,1
2730,Vayne,493,211479,0.53,0.59,2.33,302.0,640.0,Udyr,314,63712,0.43,1.0,3.82,2.0,105.0,Zed,507,341914,0.58,0.46,3.4,35.0,112.0,Draven,59,17873,0.51,0.54,2.01,13.0,187.0,Janna,667,755779,0.51,0.57,3.97,193.0,431.0,Darius,Elise,Malphite,Twitch,Yuumi,1
2731,Darius,466,75707,0.52,0.53,2.2,73.0,615.0,Lillia,443,41547,0.5,0.56,6.09,27.0,369.0,Gragas,327,1396742,0.52,0.52,3.69,112.0,121.0,Jhin,526,183625,0.5,0.57,3.32,101.0,848.0,Leona,221,53502,0.6,0.7,3.6,20.0,75.0,Garen,Nunu,Sylas,KogMaw,Yuumi,1
2732,Shyvana,489,20854,0.52,0.0,0.9,1.0,188.0,Diana,342,288537,0.52,0.58,2.36,31.0,205.0,Yone,41,130548,0.51,0.5,2.0,234.0,364.0,Jhin,122,77286,0.49,0.57,4.09,119.0,365.0,Xerath,285,394496,0.51,0.57,3.64,84.0,162.0,Sett,Khazix,Malzahar,Draven,Lux,0
2733,Quinn,310,824750,0.52,0.53,2.42,233.0,324.0,Kayn,672,156122,0.49,0.5,2.3,10.0,862.0,Ekko,324,120929,0.51,0.48,1.92,23.0,511.0,Kalista,943,106297,0.49,0.3,2.01,23.0,882.0,Morgana,582,117736,-1.0,0.0,0.0,0.0,-1.0,Renekton,Rammus,Taliyah,Draven,Seraphine,0
2734,Varus,46,14716,0.52,0.38,1.42,29.0,215.0,Rengar,79,122242,0.55,0.55,3.79,188.0,278.0,Swain,418,37058,0.49,0.71,2.41,14.0,225.0,Draven,59,17873,0.51,0.54,2.01,13.0,187.0,Seraphine,667,302330,0.51,0.52,3.63,123.0,431.0,Garen,MonkeyKing,Ekko,Ashe,Lux,1
2735,Volibear,271,46111,0.52,0.5,2.9,14.0,360.0,Viego,40,1117,0.65,0.33,3.36,3.0,37.0,Yone,327,89257,-1.0,0.0,0.0,0.0,-1.0,Draven,242,3139,0.49,0.0,1.35,4.0,274.0,Morgana,340,68802,0.51,0.6,2.7,84.0,967.0,Camille,Rammus,Chogath,Sivir,Yuumi,0
2736,Fiora,383,25738,0.49,0.43,1.87,7.0,585.0,Evelynn,811,616597,0.53,0.64,3.17,186.0,1006.0,Samira,318,866900,0.5,0.58,2.11,732.0,1024.0,Caitlyn,59,7838,0.52,0.33,1.66,9.0,508.0,Nami,647,651089,0.5,0.59,3.65,100.0,579.0,Renekton,Hecarim,Sylas,Sivir,Yuumi,1
2737,Shen,490,651099,0.54,0.6,4.64,369.0,520.0,Mordekaiser,534,367147,0.52,0.6,2.14,234.0,728.0,Lux,353,1560448,0.48,0.49,3.4,138.0,121.0,Sivir,59,14403,0.51,0.6,3.82,15.0,187.0,Yuumi,667,311865,0.51,0.48,4.92,61.0,431.0,Gwen,Trundle,Fizz,Tristana,Leona,1
2738,Aatrox,118,86462,0.51,0.45,1.73,159.0,822.0,JarvanIV,395,129492,0.47,0.68,3.27,41.0,309.0,Sylas,313,22360,0.57,0.43,2.7,7.0,131.0,Draven,59,17873,0.51,0.54,2.01,13.0,187.0,Janna,666,755779,0.51,0.57,3.97,193.0,431.0,Chogath,Shyvana,Yasuo,Sivir,Pantheon,0
2739,Gangplank,126,16863,0.51,0.46,2.15,11.0,268.0,Shyvana,766,38930,0.51,0.46,2.85,11.0,506.0,Velkoz,445,1744015,0.52,0.57,3.16,260.0,504.0,Sivir,59,14403,0.51,0.6,3.82,15.0,187.0,Seraphine,664,302330,0.51,0.52,3.63,123.0,431.0,Cassiopeia,Kayn,Yasuo,Jinx,Lulu,0
2740,Aatrox,412,86354,0.38,0.37,1.52,19.0,24.0,JarvanIV,89,12236,0.58,0.73,3.86,11.0,117.0,Ekko,65,6105,0.5,0.3,2.56,10.0,190.0,Ashe,354,29005,0.51,0.36,1.85,14.0,781.0,Renata,234,9088,0.44,0.54,2.86,13.0,221.0,Pantheon,Amumu,Irelia,Jinx,Seraphine,0
